,Artist,Genres,Popularity,Followers
0,Mostly Bears,['none'],2,99.0
1,Them Are Us Too,"['grave wave', 'nu gaze', 'shoegaze']",31,2686.0
2,Furniteur,['indie psych-rock'],24,884.0
3,Fukkk Offf,['electro house'],38,11535.0
4,Katelyn Tarver,"['channel pop', 'post-teen pop', 'viral pop']",56,26695.0
5,Budapest Philharmonic Orchestra,['none'],37,959.0
6,Para One,"['destroy techno', 'electrofox', 'filter house', 'french indietronica']",39,15694.0
7,The Big Pink,"['alternative dance', 'indietronica', 'new rave', 'nu gaze']",39,26324.0
8,Wake Owl,"['stomp and holler', 'vancouver indie']",45,16810.0
9,Jimmy Jansson,"['europop', 'swedish eurodance', 'swedish idol pop', 'swedish pop']",42,4229.0
10,Fruit Bats,"['alternative country', 'anti-folk', 'canadian indie', 'chamber pop', 'deep new americana', 'folk christmas', 'folk-pop', 'freak folk', 'indie christmas', 'indie folk', 'indie pop', 'indie psych-rock', 'indie rock', 'lo-fi', 'modern blues', 'modern rock', 'neo-psychedelic', 'new americana', 'roots rock', 'shimmer pop', 'singer-songwriter', 'slow core', 'stomp and holler']",58,34251.0
11,Nathan Hawes,['indie anthem-folk'],44,10683.0
12,Grandaddy,"['alternative rock', 'anti-folk', 'britpop', 'chamber pop', 'chamber psych', 'dance-punk', 'dream pop', 'e6fi', 'folk-pop', 'freak folk', 'garage psych', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'neo-psychedelic', 'noise pop', 'power pop', 'singer-songwriter', 'slow core', 'space rock', 'stomp and holler']",54,48201.0
13,Unwed Sailor,['post rock'],29,3015.0
14,Laura Veirs,"['anti-folk', 'chamber pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'new weird america']",53,32719.0
15,Ulf Lundell,"['classic swedish pop', 'swedish alternative rock', 'swedish folk pop', 'swedish idol pop', 'swedish indie rock', 'swedish pop']",58,83739.0
16,Blood Groove & Kikis,"['deep progressive house', 'progressive trance house']",35,1354.0
17,Kay Kay and His Weathered Underground,['dreamo'],34,3234.0
18,Brave Baby,['none'],27,1786.0
19,ZZ Ward,['none'],58,77785.0
20,Ryan Hemsworth,"['escape room', 'indie r&b', 'vapor soul', 'vapor twitch']",48,33979.0
21,Lauv,"['pop', 'post-teen pop', 'tropical house']",86,127922.0
22,Black Eyed Snakes,"['modern blues', 'punk blues']",17,1355.0
23,Brendan Canning,['canadian indie'],27,3187.0
24,Homer Hiccolm & the Rocketboys,['none'],5,223.0
25,Sea Wolf,"['chamber pop', 'folk-pop', 'indie folk', 'indie pop', 'indie rock', 'la indie', 'modern rock', 'new americana', 'shimmer pop', 'stomp and holler']",54,73300.0
26,Colouring,['vapor pop'],52,11127.0
27,Priest,"['indie poptimism', 'indie psych-rock']",34,2686.0
28,Prof,"['abstract hip hop', 'underground pop rap', 'underground rap']",50,17464.0
29,Jade TV,['none'],18,940.0
30,Crywolf,"['catstep', 'chillstep', 'edm', 'indie poptimism', 'tracestep']",58,62441.0
31,Shannon Rose & The Thorns,['none'],1,11.0
32,Walk Off the Earth,['viral pop'],65,340905.0
33,Sub Focus,"['brostep', 'deep groove house', 'drum and bass', 'edm', 'electronic', 'grime', 'house', 'liquid funk', 'tropical house']",64,115828.0
34,This Day & Age,"['dreamo', 'piano rock']",20,1936.0
35,Parti!,['none'],28,300.0
36,Greensky Bluegrass,"['bluegrass', 'deep new americana', 'jam band', 'modern blues', 'new americana', 'progressive bluegrass', 'roots rock', 'stomp and holler']",59,55869.0
37,Lost Sounds,"['garage pop', 'garage punk', 'garage rock', 'punk blues']",27,3143.0
38,GUM,['none'],42,11757.0
39,Male Bonding,"['noise pop', 'noise rock', 'nu gaze', 'popgaze']",21,3478.0
40,Caveman,"['brooklyn indie', 'indie psych-rock']",41,15670.0
41,Beatenberg,['none'],53,7656.0
42,The LaFontaines,['alt-indie rock'],41,5669.0
43,C21fx,['epicore'],38,2611.0
44,Vincenzo,['progressive house'],39,3160.0
45,Palma Violets,"['alt-indie rock', 'garage rock', 'indie rock', 'shiver pop']",42,47997.0
46,Sidewalks and Skeletons,"['grave wave', 'vaporwave']",43,8562.0
47,Actual Villains,"['anthem emo', 'post-screamo']",38,2006.0
48,Massari,"['alternative r&b', 'canadian pop', 'dance pop', 'slow game']",57,29377.0
49,Megan & Liz,"['channel pop', 'pop christmas', 'post-teen pop', 'viral pop']",45,59556.0
50,Folded Like Fabric,"['deep indie r&b', 'vapor soul']",48,8074.0
51,Jack Savoretti,"['acoustic pop', 'folk-pop', 'indie anthem-folk', 'neo mellow']",60,96609.0
52,No Vacation,"['indie garage rock', 'indie psych-rock']",56,20837.0
53,Wolf and Willow,['indiecoustica'],37,651.0
54,the feelers,['kiwi rock'],42,4951.0
55,Kleerup,"['deep swedish indie pop', 'metropopolis', 'swedish indie pop', 'swedish indie rock', 'swedish pop']",52,28261.0
56,Sabrina Carpenter,"['dance pop', 'pop', 'post-teen pop', 'teen pop', 'viral pop']",79,945574.0
57,Parquet Courts,"['alt-indie rock', 'alternative rock', 'anti-folk', 'brooklyn indie', 'chamber psych', 'dance-punk', 'dream pop', 'experimental rock', 'folk-pop', 'freak folk', 'garage psych', 'garage rock', 'indie folk', 'indie garage rock', 'indie pop', 'indie punk', 'indie rock', 'indietronica', 'lo-fi', 'modern rock', 'neo-psychedelic', 'noise pop', 'noise rock', 'nu gaze', 'post-punk', 'preverb', 'slow core', 'space rock']",57,71982.0
58,California Wives,"['chicago indie', 'metropopolis', 'shimmer pop']",30,3279.0
59,The Del McCoury Band,"['bluegrass', 'jam band', 'old-time', 'progressive bluegrass', 'traditional folk']",47,9835.0
60,Sara Bareilles,"['acoustic pop', 'dance pop', 'folk christmas', 'folk-pop', 'lilith', 'neo mellow', 'pop', 'pop christmas', 'pop rock', 'post-teen pop', 'singer-songwriter', 'viral pop']",73,652313.0
61,Jacquie Lee,['deep talent show'],9,22559.0
62,Ji Nilsson,"['deep swedish indie pop', 'swedish indie pop']",49,5760.0
63,Senjahopen,['norwegian rock'],34,3069.0
64,Library Voices,"['canadian indie', 'stomp pop']",16,1365.0
65,Good Boy,['deep australian indie'],39,3291.0
66,The Kooks,"['garage rock', 'indie pop', 'indie rock', 'modern rock']",76,1144770.0
67,Josef Salvat,['gauze pop'],62,58144.0
68,Splashh,"['alt-indie rock', 'chamber psych', 'garage psych', 'indie garage rock', 'noise pop', 'nu gaze', 'preverb']",42,14000.0
69,Ryan Star,"['neo mellow', 'pop rock']",48,22404.0
70,Tom Swoon,"['big room', 'deep big room', 'deep pop edm', 'edm', 'electro house', 'progressive electro house', 'progressive house', 'sky room', 'tracestep', 'tropical house']",60,28599.0
71,Kevin Garrett,"['deep indie r&b', 'indie anthem-folk', 'indie folk', 'indie poptimism', 'indie r&b', 'vapor soul']",62,51916.0
72,The Subways,"['dance-punk', 'garage rock', 'indie rock', 'modern rock', 'new rave']",54,93399.0
73,Graham Candy,['none'],65,21925.0
74,Amanda Jenssen,"['classic swedish pop', 'europop', 'swedish folk pop', 'swedish idol pop', 'swedish indie pop', 'swedish indie rock', 'swedish pop']",48,61088.0
75,Justin Cross,['none'],17,2248.0
76,Warhaus,['belgian rock'],50,11002.0
77,We Are The City,"['canadian indie', 'vancouver indie']",28,4695.0
78,Ernest Gonzales,['wonky'],29,3126.0
79,Timberwolf,['deep australian indie'],45,3561.0
80,Justin Townes Earle,"['alternative country', 'anti-folk', 'country rock', 'deep new americana', 'electric blues', 'folk', 'folk-pop', 'indie folk', 'modern blues', 'new americana', 'outlaw country', 'progressive bluegrass', 'roots rock', 'singer-songwriter', 'stomp and holler', 'texas country', 'traditional folk']",55,55119.0
81,Kartell,"['deep indie r&b', 'filter house', 'nu disco']",52,16695.0
82,Kate Voegele,"['acoustic pop', 'neo mellow', 'pop rock', 'post-teen pop', 'viral pop']",48,63215.0
83,Eikon,"['anthem worship', 'christian uplift']",39,4850.0
84,Thomas Sekelius,['swedish idol pop'],46,5157.0
85,New Liberty,['none'],0,15.0
86,Brent Cobb,"['alternative country', 'deep new americana', 'new americana']",49,9867.0
87,Södra Station,"['deep pop edm', 'deep swedish indie pop', 'melodipop', 'swedish folk pop', 'swedish idol pop', 'swedish pop']",54,1959.0
88,The Civil Wars,"['acoustic pop', 'folk christmas', 'folk-pop', 'indie christmas', 'indie folk', 'indie pop', 'indiecoustica', 'neo mellow', 'new americana', 'pop', 'stomp and holler', 'viral pop']",71,575493.0
89,Lorentz,"['deep swedish hip hop', 'deep swedish indie pop', 'swedish hip hop', 'swedish idol pop', 'swedish indie pop', 'swedish indie rock']",56,10231.0
90,Jars Of Clay,"['ccm', 'christian alternative rock', 'christian christmas', 'christian hip hop', 'christian music', 'christian rock', 'worship']",51,74368.0
91,Face To Face,"['emo', 'melodic hardcore', 'pop punk', 'punk', 'ska punk', 'skate punk']",54,44959.0
92,Songhoy Blues,"['chamber psych', 'world']",45,21721.0
93,Sims,"['abstract hip hop', 'underground rap']",39,7468.0
94,Art of Sleeping,['deep australian indie'],41,10079.0
95,Neon Indian,"['alternative dance', 'chillwave', 'dance-punk', 'dream pop', 'freak folk', 'future funk', 'indie pop', 'indie psych-rock', 'indie r&b', 'indie rock', 'indietronica', 'modern rock', 'neo-psychedelic', 'new rave', 'noise pop', 'nu gaze', 'shimmer pop', 'synthpop', 'vaporwave']",59,185818.0
96,Bleeding Knees Club,"['deep australian indie', 'indie garage rock', 'shimmer pop']",35,10175.0
97,Tom Vek,"['alternative dance', 'dance-punk', 'indietronica', 'new rave']",39,18190.0
98,Chateau Marmont,"['electrofox', 'filter house']",34,4959.0
99,Jonathan Richman,"['alternative rock', 'anti-folk', 'art rock', 'country rock', 'dance rock', 'garage rock', 'lo-fi', 'post-punk', 'power pop', 'protopunk', 'singer-songwriter', 'slow core', 'traditional folk', 'uk post-punk']",46,19206.0
100,Ashley Monroe,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",54,36263.0
101,Emily Haines & The Soft Skeleton,"['canadian indie', 'canadian pop', 'folk-pop', 'indie pop']",44,15121.0
